Date,Price,Open,High,Low,Vol.,Change %
01/22/2024,12.05,12.05,12.15,11.975,,0.25%
01/19/2024,12.02,12.045,12.1,11.97,,0.25%
01/18/2024,11.99,12.04,12.0525,11.97,,0.00%
01/17/2024,11.99,12,12.075,11.905,,0.33%
01/16/2024,11.95,12,12.09,11.95,,0.00%
01/15/2024,11.95,11.96,12.065,11.95,,0.00%
01/12/2024,11.95,11.965,12.085,11.945,,0.42%
01/11/2024,11.9,11.96,12.065,11.915,,0.00%
01/10/2024,11.9,11.935,12.005,11.915,,-0.17%
01/09/2024,11.92,11.97,12.005,11.915,,-0.33%
01/08/2024,11.96,11.98,11.98,11.98,,0.00%
01/05/2024,11.96,11.95,12.005,11.9,,0.50%
01/04/2024,11.9,11.925,12.015,11.9,,-0.17%
01/03/2024,11.92,11.95,12.035,11.9,,0.17%
01/02/2024,11.9,11.95,12.02,11.83,,0.00%
01/01/2024,11.9,11.9,11.9,11.9,,0.00%
12/29/2023,11.9,11.965,12,11.85,,0.00%
12/28/2023,11.9,12.03,12.03,11.9,,-0.67%
12/27/2023,11.98,12.02,12.04,11.92,,0.17%
12/26/2023,11.96,12.01,12.01,12.01,,-0.08%
12/25/2023,11.97,11.97,11.97,11.97,,0.00%
12/22/2023,11.97,12.03,12.045,11.95,,-0.08%
12/21/2023,11.98,12.03,12.05,11.99,,0.00%
12/20/2023,11.98,12.03,12.05,11.99,,0.00%
12/19/2023,11.98,12.03,12.05,11.97,,0.00%
12/18/2023,11.98,12.03,12.05,11.965,,0.00%
12/15/2023,11.98,12.03,12.05,11.975,,0.00%
12/14/2023,11.98,12.03,12.05,12,,0.00%
12/13/2023,11.98,12.03,12.051,12,,0.00%
12/12/2023,11.98,12.03,12.05,11.975,,0.00%
12/11/2023,11.98,11.975,12.05,11.965,,0.25%
12/08/2023,11.95,12.03,12.15,11.965,,-0.25%
12/07/2023,11.98,12.03,12.09,11.965,,0.00%
12/06/2023,11.98,12.03,12.04,11.965,,0.00%
12/05/2023,11.98,12,12.04,11.965,,0.25%
12/04/2023,11.95,12,12.025,11.945,,-0.08%
12/01/2023,11.96,12,12.01,12,,0.08%
11/30/2023,11.95,12,12.01,11.95,,0.00%
11/29/2023,11.95,12,12.135,11.85,,0.00%
11/28/2023,11.95,12,12.005,11.9,,0.00%
11/27/2023,11.95,12,12.025,11.935,,0.00%
11/24/2023,11.95,11.975,12.035,11.94,,0.42%
11/23/2023,11.9,11.975,12,11.915,,0.00%
11/22/2023,11.9,11.975,12.05,11.875,,0.00%
11/21/2023,11.9,11.9495,12,11.9,,0.00%
11/20/2023,11.9,11.87,11.975,11.87,,0.00%
11/17/2023,11.9,11.9495,11.975,11.915,,0.00%
11/16/2023,11.9,11.9495,11.975,11.86,,0.00%
11/15/2023,11.9,11.9475,11.98,11.765,,0.02%
11/14/2023,11.8975,11.9475,11.98,11.835,,0.00%
11/13/2023,11.8975,11.9475,11.975,11.815,,0.15%
11/10/2023,11.88,11.925,11.975,11.86,,-0.17%
11/09/2023,11.9,11.945,11.95,11.765,,0.04%
11/08/2023,11.895,11.93,11.9725,11.835,,0.13%
11/07/2023,11.88,11.93,11.95,11.8,,0.00%
11/06/2023,11.88,11.88,11.945,11.78,,0.25%
11/03/2023,11.85,11.93,11.94,11.775,,-0.25%
11/02/2023,11.88,11.9225,11.94,11.8,,0.00%
11/01/2023,11.88,11.875,11.97,11.775,,0.00%
10/31/2023,11.88,11.93,11.93,11.775,,0.00%
10/30/2023,11.88,11.875,11.93,11.76,,0.00%
10/27/2023,11.88,11.91,11.93,11.75,,0.17%
10/26/2023,11.86,11.89,11.9275,11.755,,0.17%
10/25/2023,11.84,11.865,11.95,11.75,,0.17%
10/24/2023,11.82,11.835,11.885,11.7425,,0.34%
10/23/2023,11.78,11.825,11.875,11.705,,-0.17%
10/20/2023,11.8,11.75,11.94,11.65,,0.00%
10/19/2023,11.8,11.83,11.875,11.675,,0.17%
10/18/2023,11.78,11.8,11.875,11.7,,0.26%
10/17/2023,11.75,11.8,11.85,11.675,,0.00%
10/16/2023,11.75,11.7,11.85,11.675,,0.43%
10/13/2023,11.7,11.795,11.85,11.615,,-0.51%
10/12/2023,11.76,11.8,11.875,11.615,,0.09%
10/11/2023,11.75,11.7775,11.875,11.575,,0.00%
10/10/2023,11.75,11.775,11.825,11.575,,0.00%
10/09/2023,11.75,11.575,11.8,11.575,,0.77%
10/06/2023,11.66,11.665,11.8,11.575,,0.52%
10/05/2023,11.6,11.625,11.76,11.51,,0.17%
10/04/2023,11.58,11.625,11.775,11.425,,0.00%
10/03/2023,11.58,11.595,11.7,11.425,,0.00%
10/02/2023,11.58,11.505,11.625,11.425,,0.26%
09/29/2023,11.55,11.585,11.625,11.425,,0.00%
09/28/2023,11.55,11.55,11.6175,11.425,,0.43%
09/27/2023,11.5,11.55,11.61,11.41,,0.00%
09/26/2023,11.5,11.51,11.8,11.395,,0.44%
09/25/2023,11.45,11.425,11.575,11.385,,0.17%
09/22/2023,11.43,11.505,11.565,11.375,,-0.61%
09/21/2023,11.5,11.475,11.525,11.475,,0.88%
09/20/2023,11.4,11.5,11.6,11.4,,-0.52%
09/19/2023,11.46,11.49,11.545,11.375,,0.09%
09/18/2023,11.45,11.46,11.58,11.36,,-0.26%
09/15/2023,11.48,11.475,11.54,11.385,,0.44%
09/14/2023,11.43,11.475,11.735,11.36,,0.09%
09/13/2023,11.42,11.425,11.525,11.355,,0.62%
09/12/2023,11.35,11.425,11.52,11.375,,0.00%
09/11/2023,11.35,11.485,11.7425,11.345,,-0.44%
09/08/2023,11.4,11.45,11.5175,11.345,,0.44%
09/07/2023,11.35,11.355,11.5,11.325,,-0.04%
09/06/2023,11.355,11.355,11.48,11.325,,0.00%
09/05/2023,11.355,11.415,11.7375,11.325,,-0.04%
09/04/2023,11.36,11.43,11.4725,11.275,,0.00%
09/01/2023,11.36,11.35,11.5,11.325,,0.09%
08/31/2023,11.35,11.4475,11.6,11.3,,0.00%
08/30/2023,11.35,11.35,11.5,11.3,,0.00%
08/29/2023,11.35,11.4,11.49,11.275,,0.00%
08/28/2023,11.35,11.3225,11.485,11.275,,0.00%
08/25/2023,11.35,11.335,11.415,11.225,,0.13%
08/24/2023,11.335,11.3,11.41,11.175,,0.31%
08/23/2023,11.3,11.2,11.525,11.125,,0.89%
08/22/2023,11.2,11.2,11.525,11.1,,0.09%
08/21/2023,11.19,11.25,11.375,11.15,,-0.53%
08/18/2023,11.25,11.19,11.525,11.05,,0.54%
08/17/2023,11.19,11.3,11.525,11.05,,0.04%
08/16/2023,11.185,11.175,11.505,11.05,,0.09%
08/15/2023,11.175,11.175,11.505,11.05,,0.00%
08/14/2023,11.175,11.3,11.49,11.1,,0.00%
08/11/2023,11.175,11.175,11.49,11.05,,0.00%
08/10/2023,11.175,11.175,11.475,11.05,,0.00%
08/09/2023,11.175,11.175,11.475,11.05,,0.00%
08/08/2023,11.175,11.175,11.45,11.05,,0.00%
08/07/2023,11.175,11.3,11.475,11.05,,2.52%
08/04/2023,10.9,10.9,10.9,10.9,,-3.11%
08/03/2023,11.25,11.24,11.42,11.075,,0.09%
08/02/2023,11.24,11.27,11.475,11.05,,-0.40%
08/01/2023,11.285,11.32,11.6,11.15,,-0.31%
07/31/2023,11.32,11.39,11.575,11.25,,-0.70%
07/28/2023,11.4,11.3,11.515,11.03,,0.66%
07/27/2023,11.325,11.3,11.73,11.07,,0.04%
07/26/2023,11.32,11.3,11.655,11.005,,-0.04%
07/25/2023,11.325,11.3,11.635,11.225,,-1.52%
07/24/2023,11.5,11.3,11.675,11.225,,1.32%
07/21/2023,11.35,11.3,11.685,11.225,,0.22%
07/20/2023,11.325,11.3,11.71,11.2,,-0.31%
07/19/2023,11.36,11.3,11.625,10.955,,-1.65%
07/18/2023,11.55,11.3,11.65,10.935,,1.54%
07/17/2023,11.375,11.3,11.45,10.955,,0.00%
07/14/2023,11.375,11.375,11.45,10.98,,0.00%
07/13/2023,11.375,11.375,11.425,10.985,,0.00%
07/12/2023,11.375,11.375,11.45,10.955,,0.00%
07/11/2023,11.375,11.375,11.44,10.9825,,0.00%
07/10/2023,11.375,11.3,11.475,11.2,,0.00%
07/07/2023,11.375,11.3,11.6,11.15,,0.00%
07/06/2023,11.375,11.4,11.525,11,,-0.22%
07/05/2023,11.4,11.375,11.475,10.96,,0.22%
07/04/2023,11.375,11.375,11.475,11.175,,0.22%
07/03/2023,11.35,11.3,11.475,11,,0.22%
06/30/2023,11.325,11.5,11.515,11.025,,-1.52%
06/29/2023,11.5,11.5,11.6,10.9775,,0.00%
06/28/2023,11.5,11.5,11.525,11.3,,0.00%
06/27/2023,11.5,11.5,11.535,11.15,,0.00%
06/26/2023,11.5,11.3,11.525,10.95,,1.32%
06/23/2023,11.35,11.35,11.55,11.3,,0.00%
06/22/2023,11.35,11.35,11.55,10.95,,0.00%
06/21/2023,11.35,11.35,11.45,10.93,,0.00%
06/20/2023,11.35,11.35,11.515,10.925,,0.00%
06/19/2023,11.35,11.3,11.45,10.95,,0.00%
06/16/2023,11.35,11.35,11.4125,10.86,,0.00%
06/15/2023,11.35,11.35,11.5,10.885,,0.00%
06/14/2023,11.35,11.35,11.45,11.1,,0.00%
06/13/2023,11.35,11.35,11.5,10.885,,0.00%
06/12/2023,11.35,11.3,11.45,10.89,,0.44%
06/09/2023,11.3,10.95,11.45,10.95,,0.00%
06/08/2023,11.3,11.25,11.35,10.875,,-0.44%
06/07/2023,11.35,11.35,11.375,10.875,,0.00%
06/06/2023,11.35,11.25,11.35,10.85,,0.67%
06/05/2023,11.275,11.275,11.375,10.85,,1.35%
06/02/2023,11.125,11.15,11.375,10.85,,-0.45%
